code,name,address,city,website,email,phone_number
4000,Baudouin (liège),"Rue Hubert Goffin, 167",Liege,www.rtcbaudouin.be,rtcbaudouin@outlook.com,485947255
3006,Baudourois,Parc Communal,Baudour,,demaude.thierry@hotmail.be,65794647
3105,Bauletracing,Route de Namur 171,Wanferceebaulet,,floprevot@hotmail.com,71815840
6023,Bayard,Av. Amand de Mendieta 62,Anseremme,www.tcbayard.be,bayardtcdinantais@gmail.com,471044414
4007,Beaufays,"Voie de l'Air Pur, 126",Beaufays,www.beaufaystc.be,beaufays.tc@gmail.com,43688754
3067,Beaumont,"Rue du Vivier, 6",Beaumont,,jadinhubert2001@gmail.com,473186226
6064,Beauraing,"Rue de la Couture, 40",Beauraing,,info@tcbeauraing.be,
1007,Beauvechain,"Rue du Cimetière, 3 A",Hammemille,www.tcbeauvechain.be,info@tcbeauvechain.be,479951100
6083,Belgrade,"Rue Auguste Lebrun,65",Belgrade,,agnes.vankerm@skynet.be,
4033,Belle fleur,"Rue Sabare, 95",Cheratte,www.tcbellefleur.be,bellefleurtc@gmail.com,476292680
4022,Bellerive,"Quai du Halage, 49",Tilff,www.rtcbellerive.be,secretariat@rtcbellerive.be,497425353
3108,Beloeil,"Rue F.Leuridant, 1",Beloeil,,tennisclubbeloeil@gmail.com,
3071,Bernissart,Centre Omnisport du Préau,Bernissart,,,475292684
3053,Bertransart,"Route de Philippeville, 45",Nalinnes,www.cs-bertransart.be,info@cs-bertransart.be,71218900
6062,Bertrix,Rue Fontaine Ennet 4,Bertrix,www.tcbb.be,patrick.vanpoeyer@gmail.com,477994225
6090,Bievre,Rue d'Houdremont 68,Bievre,www.tcbievre.be.,,475746334
3088,Binche tennis club,"Rue du Village, 17",Ressaix,,binchetennisclub@gmail.com,478662631
6108,Bioul,Rue du Cherimont 15,Bioul,www.bioultennis.sitew.be,seb.charles3@gmail.com,495212423
3073,Bjornsclub,"Rue Albert Ier, 185",Farciennes,,Nicolas.trentin@icloud.com,473563602
1040,Bois cambre,"Square du Vieux Tilleul, 11",Ixelles,www.boisdelacambre.be,eric.kreps@foretdesoignes.be,475858534
6047,Bois de villers,"Rue Léon François, 10",Boisdevillers,,info@tennisboisdevillers.be,
6110,Bois du loup,"Chaussée de Ligny, 70",Sombreffe,,lecouturier.michel53@gmail.com,476641002
3011,Boisduprince,Rue de Bomerée 318,Montignyletilleul,www.boisduprince.be,webmaster@boisduprince.be,476817763
4061,Bomal,"rue du Sassin,3",Bomalsurourthe,,tennisclubbomal@gmail.com,474872314
6032,Bouge,Rue Charles Bouvier 1,Bouge,www.bouge-tennisclub.be,marc.goossens24@gmail.com,81215626
6007,Bouillon,"Boulevard Vauban, 20",Bouillon,www.tennisbouillon.be,tennis.bouillon@gmail.com,478226040
1055,Braine l'alleud,"Avenue Alphonse Allard, 210",Braine l alleud,www.tcba.be,info.tcba@gmail.com,476559554
3042,Brainelechateau,"Rue de la Libération, 25",Brainelechteau,www.tennisblc.be,marc.vanhouche@hotmail.com,477787717
4004,Braives,"Rue du Bois, 17",Braives,www.tcbraives.be,,479838686
1008,Brussels,"Chaussée de Waterloo, 890",Bruxelles,www.brusselstennis.be,brussels.ltc@skynet.be,23749259
4091,Butgenbach,"Worriken, 13",Butgenbach,www.tc-butgenbach.be,tc.butgenbach@gmail.com,474961861
4054,Calamine,"Heide, 66",La calamine,www.ctc-la-calamine.be,ctclacalamine1978@gmail.com,87630245
1065,Cardinal mercier,Chaussée de Mont-Saint-Jean 83,Braine l alleud,,info@ccmsports.be,23861546
1064,Castle club,"Avenue de la Bécasse, 16",Wezembeekoppem,www.sports-valley.be,castle@sports-valley.be,27316820
4042,Centenaire ougree,Avenue du Centenaire 59,Ougree seraing,www.centenaireougree.be,jacquemin.dany@gmail.com,475718697
6105,Cerfontaine,"Rue du Fouéry, 4",Cerfontaine,,jpaquet0123@gmail.com,
3010,Chapelle,"Rue des Ateliers, 44",Chapellelezherlaimont,,teamrctc@hotmail.be,
4083,Charlemagne,"Chaussée de Liège, 26",Henrichapelle,,david.thielen@portima.be,475209911
1012,Charles-quint,"Rue Vanderveken, 159",Bruxelles,www.rtccharlesquint.be,charlesv@skynet.be,24680150
1419,Chateau ste anne,"Rue du Vieux Moulin,  103",Bruxelles,,danielpieters15@gmail.com,26602900
4014,Chaudfontaine,Esplanade Parc du Casino,Chaudfontaine,www.tennischaudfontaine.be,secretariat.rtcc@gmail.com,496257696
3095,Cheminotsstghislain,"Rue Marius Renard, 238",Hornu,www.cheminots.tennisweb.be,tennis.cheminots@gmail.com,474681351
4047,Chenee,"Rue de la Digue, 11 b",Chenee,,labaluejl1@hotmail.com,475408688
4010,Cheval blanc,"Drève de Maison Bois, 20",Verviers,www.tcchevalblanc.be,secretaire.tccb@gmail.com,475302905
4097,Chevron,"Habiemont, 13",Chevron,www.tcchevron.be,calvo.seb.tcc@gmail.com,495743306
1096,Churchill,"Rue Edith Cavell, 92",Bruxelles,,pigerlache@gmail.com,473286166
6013,Ciney,"Barcène, 6",Ciney,www.tennisciney.be,bothy36@hotmail.com,83214266
6000,Citadelle,"Avenue du Milieu du Monde, 3",Namur,www.tennis-citadelle.be,info@tennis-citadelle.be,81740374
4030,Cointe,"Plaine des Sports de Cointe - Boulevard Kleyer, 1/F",Liege,www.rtccointe.be,info@rtccointe.be,42535582
3061,Coloma,"Place d'Hyon, 15 bis",Hyon,,tccoloma3061@gmail.com,497167228
4037,Condroz,"rue Petit Fraineux, 12",Nandrin,,tccondroz@skynet.be,43715627
1071,Court-st-etienne,"Avenue des Combattants, 1 A",Courtsaintetienne,www.tccourt.com,tennis.saint.etienne@gmail.com,
6014,Couvin,"rue de la Foulerie, 16/2",Couvin,,tc.couvin@gmail.com,
1077,Crspc anderlecht,"Rue des Fruits, 73",Bruxelles,,daikomyo2011@gmail.com,
1002,David lloyd,fort jacolaan nr6,Bruxelles,www.davidlloyd.be,davidlloyd.tennis.vr@gmail.com,475380738
1420,Davis,"Rue Frans Landrain,  26",Wezembeekoppem,www.davis.be,info@davis.be,27317707
3024,Domaine,rue de la halle 3 b,Solresursambre,,fabrice.pitot@fasd.be,488005313
3035,Dottignien,"Plaine Haverie, Rue de la Cabocherie",Dottignies,,tennis@tcdottignien.be,
3058,Ellezelles,Rue de Renaix 38B,Ellezelles,www.tcellezelles.be,info@tcellezelles.be,474665213
4079,Embourg,"Au Chession, 10",Embourg,,info@tcembourg.be,
3064,Enghien,"Pavé de Soignies, 36",Enghien,www.tcenghien.be,laurence.ladriere@ulb.ac.be,493030290
6057,Ermeton,Rue de Anthée,Ermetonsurbiert,,cornetann48@gmail.com,477609003
1043,Ermitage,"Chaussée de Tirlemont, 68",Jodoigne,,club@ermitage.be,
3043,Ermitagecharleroi,"Parc Mambourg - Rue Etienne Dourlet, 90 C",Charleroi,,jeanmarie_mayeur@voo.be,477696581
4062,Esneux,"Rue de Poulseur, 5",Esneux,www.tcesneux.be,tennisclubesneux@gmail.com,475267180
4006,Eupen,"Hütte, 85",Eupen,www.tennisclubeupen.be,info@tennisclubeupen.be,87554849
4126,Euro barchon magic tennis,"Route de Légipont, 13",Barchon,www.eurotennisbarchon.be,tennisbarchon@gmail.com,43627962
1052,Evere ws,"Avenue des Anciens Combattants, 350",Bruxelles,www.everetennis.be,info@everetennis.be,476900470
4108,Faimes,Rue Cortil Jonet,Faimes,,tc.faimes@gmail.com,476525774
4029,Fayen bois,"Avenue du Tennis, 11",Jupillesurmeuse,www.fayenbois.be,info@fayenbois.be,496919215
4002,Flemalle,"Rue du Beau Site, 25",Flemalle,,rtcf@skynet.be,476447874
3016,Fontainois,Domaine du Château Bivort,Fontaineleveque,www.tcfontainois.be,marie_spezi@yahoo.fr,477199088
6046,Fontenalle,"Rue Godfrind, 32",Seilles,www.tc-fontenalle.be,president@tc-fontenalle-andenne.be,494152515
1060,Forest domaine,"Avenue du Domaine, 150",Bruxelles,www.forestdomaine.be,info@forestdomaine.be,23470203
4095,Form chaineux,"Haute Chaineux, 36",Chaineux,www.tcform.be,info@tcform.be,479423852
4034,Fortis,"Rue du Bon Air, 219",Herstal,,marc.dubois@bnpparibasfortis.com,478564252
6033,Fosses,Route de Mettet,Fosseslaville,,romhu52@gmail.com,488168846
6104,Franc waret,Parc du Château,Francwaret,,infotcfw@gmail.com,
3050,Froidchapellesmash,"Rue du Moulin, 10",Froidchapelle,,smashtcfroidchapelle@gmail.com,
6060,Garisart,"Weyler - Zone Artisanale, 30 bte 2",Arlon,www.garisart.be,info@garisart.be,63227440
6080,Gedinne,"Rue des Fossés, 24",Gedinne,,tcgedinne@gmail.com,
6029,Gembloux,"Rue Chapelle Moureau, 23",Gembloux,www.tc-g.be,charlesdessart@tc-g.be,81615313
6036,Geronsart,"Rue de la Luzerne, 3",Jambes namur,www.tennisgeronsart.be,info@tennisgeronsart.be,81305757
3003,Gerpinnes,"Avenue Reine Astrid, 11",Gerpinnes,www.tcgerpinnes.be,tcg@skynet.be,486885884
3012,Gilly,"Chaussée de Lodelinsart, 64",Gilly charleroi,,rdcgilly@gmail.com,473579555
4107,Gleize,"Rue de l'Eglise, 15",La gleize,,jlb.lagleize@skynet.be,474990385
6024,Godinne,Rue du Pont - Plaine des Sports,Godinne,,tcgodinne@yahoo.fr,
3017,Gosselies,"Rue de la Haie aux Mûres, 4",Gosselies,www.rtcg.be,info@rtcg.be,476402014
4028,Grace,"Rue A. Materne, 80",Grcehollogne,www.rtcgrace.be,rtc-grace@voo.be,496656496
4069,Grivegnee,"Rue Nicolas Spiroux, 55",Grivegnee liege,www.tcgrivegnee.be,,478742044
4050,Guillemins,"Rue Provinciale, 155 (Gare de Liers)",Juprelle,www.tc-guillemins.be,jmariepart@voo.be,494175448
6063,Haillot,"Rue du Centre, 111",Haillot,,eric.mazy@skynet.be,478706638
3197,Hainautcentrereg,Avenue de La Sapinette - Grand Large,Mons,,a.courtois@aft-hainaut.be,473736891
6037,Halanzy,Rue de la Minière,Halanzy,www.tch.be,tchalanzy@hotmail.com,63678408
4039,Hamoir,Rue du Vieux Moulin,Hamoir,,stephanieflamaxhe@hotmail.com,496474559
4011,Hannutois,"Rue de Tirlemont, 67",Hannut,www.rtchannutois.be,renaud.schetter@skynet.be,475477699
6025,Hastiere,"Route de Philippeville, 31",Agimont,,mail@tennisclubhastiere.be,
4045,Haut clocher,"Grand-Route, 98",Fexhelehautclocher,,borremans.galloy@gmail.com,477293845
3049,Havre,"Rue du Moulin d'Havré, 40",Havre,www.tennishavre.be,info@tennishavre.be,496285426
4003,Herstal,"Rue du Bon Air, 219",Herstal,www.herstaltennis.wikeo.be,"brigitteguy@skynet.be , david.olivier@hotmail.com",42403489
4043,Herve,"Sur la Commune, 8",Battice,www.tcherve.be,nicole.baguette@yucom.be,495624313
4009,Heusy,"Avenue du Tennis, 36",Heusy,www.tennis-heusy.be,secretariatheusytc@hotmail.com,478336493
1009,Hirondelle,"Rue Openveld, 96",Bruxelles,www.rtchirondelle.be,info@rtchirondelle.be,475506745
3089,Hornutois,"Rue Barbet ,86",Hornu,,wasyliwankiw@yahoo.fr,478335458
6058,Hotton,Rue des Ecoles,Hotton,,1958michel.collard@gmail.com,
3022,Houdinoisrtc,"Avenue du Stade, 23 bte 3",Houdenggoegnies,,olivier.dascotte64@skynet.be,
6079,Houffalize,"Centre Sportif - Cour de l'Abbaye, 15",Houffalize,www.houffalize.be,francois.rob@live.be,61289052
4048,Housse,Rue du Stade,Housse,,comite.tennis.housse@gmail.com,
6016,Houyet,"Rue Saint-Roch, 48",Houyet,,tennis.houyet@gmail.com,475565525
6050,Incourt,"Chemin de la Carrière aux Pavés, 16",Incourt,www.tcincourt.be,tcincourt@gmail.com,10244815
1025,Intero,"Chemin du Réservoir, 1 (GPS drève de Lorraine)",Bruxelles,,rcsintero@skynet.be,
1017,Ixelles,"Rue Volta, 18",Ixelles,,daniel@isea.tc,
4104,Jalhay,"Route de la Gileppe, 1A",Jalhay,,denisebiemar@hotmail.com,495363241
3083,Jamioulx,Allée Jean Hainaut 87,Jamioulx,www.jamioulxtc.be,info@jamioulxtc.be,71214242
3023,Jemappien,"Rue Château Guillochain, 35",Jemappes,www.rtcj.org,christian.cardinal@belgacom.net,475854506
6077,Jemelle,"Rue des Jardins, 48",Jemelle,,infostcjemelle@gmail.com,498275780
3019,Jumetexc,"Rue de la Jeanette, 49 B",Jumet charleroi,www.retcjumet.be,retcjumet@hotmail.com,71353845
1078,Justine henin,"Avenue Léon Fournet, 20",Limelette,www.clubjustinehenin.be,hello@justine-henin.be,10410900
3013,Kain,"Rue de Breuze, 26 b",Kain tournai,www.kaintennisclub.be,benjamin@verraghen.be,472400537
3068,Kalypso,"Rue du Canal, 1",Gosselies,,tckalypso@gmail.com,
1092,Kineo,"Rue Alfred Haulotte, 52",Limelette,www.tckineovital.be,info@tckineovital.be,478294468
1022,Kraainem,"Complexe Sportif de Kraainem, Rue du Patronage, 10",Kraainem,www.kraainemtc.be,info@kraainemtc.be,27203161
6073,La brulotte,"Rue du Couvent, 29A",Transinne,,l.m-ch@hotmail.fr,498262202
6026,La bruyere,"rue de la Grippelotte,2",Meux,www.tclb.be,secretariat@tclb.be,478345234
6028,La closiere,Chemin de la Sibérie,Gembloux,www.tennis-laclosiere.be,info@tennis-laclosiere.be,494800334
1020,La cure,"Drève, 4",Zetrudlumay,www.batd.eu,michel.decock@batd.eu,10810711
1019,La hulpe,"Rue Général de Gaulle,  55",La hulpe,www.tc1310.be,info@tc1310.be,
6038,La ligne,Rue Potriau,Sombreffe,,francis.schneider50@gmail.com,484074303
6044,La roche,Complexe Sportif - Rue de Harzé,La rocheenardenne,,willy.bonjean@skynet.be,498101423
4093,Ladrie,Voie des Maçons 2,Soumagne,,club@tcladrie.be,478305319
1026,Laeken,"Drève du Tennis, 25",Wemmel,www.rltc.be,rltc@outlook.be,24601091
1011,Lambermont,"Boulevard Général Wahis, 1",Bruxelles,www.rtclambermont.be,info@rtclambermont.be,27057078
4008,Lambermont,"Sur les Joncs, 28",Lambermont,www.retcl.be,georges.briart@gmail.com,487922797
3111,Laperchethulin,Rue Fulgence Masson  1 a,Thulin,,roger.philippart@skynet.be,
3078,Lausprelleacademyasbl,"Rue des Hauts Droits, 87",Acoz,,,495239694
6074,Lavacherie,"Rue de Le Jardin, 19",Lavacherie,,tc.lavacherie@gmail.com,
1081,Le bercuit,"Allée de la Ferme du Bercuit, 36",Grezdoiceau,www.tcbercuit.be,info@tcbercuit.be,10845057
1061,Le bosquet,"Rue Bois du Bosquet, 17",Rosieres,www.tcbosquet.be,info@tcbosquet.be,475803149
1030,Le chalet,"Rue Charles Malis, 1",Bruxelles,www.tclechalet.be,info@tclechalet.be,24143604
6071,Le chatelet,Rue E. Baudrux,Habaylaneuve,,tc_chatelet@hotmail.com,63422620
6094,Le lac,"Rue de l'Institut, 15",Messancy,,,63382982
1059,Le parc,"Avenue Einstein, 5",Louvainlaneuve,www.leparc1348.be,info@leparc1348.be,10451693
4134,Legia sport ans,"Route Militaire, 401",Alleur,www.legiasport.be,info@legiasport.be,42461778
1027,Leopold,"Avenue Adolphe Dupuich, 42",Bruxelles,www.leopoldclub.be,info@leopoldclub.be,23443666
3044,Leroeulx,"Rue de la Station, 142",Le roeulx,www.smashing-leroeulx.be,info@smashing-leroeulx.be,475342558
6088,Les alloux,"Avenue Roosevelt, 113B",Tamines,www.tc-alloux.be,patrice.helin@gmail.com,71194122
1070,Les bruyères ,Rue Vanderveken 50,Ganshoren,,tennis-les-bruyeres@hotmail.com,476746405
1076,Les eglantiers,"Avenue Salomé,2",Woluwesaintpierre,,tc.leseglantiers@sportcity-woluwe.be,
6072,Les grottes,Plaine de Jeux - Rue des Marronniers,Hansurlesse,,,495624801
6041,Les jonquilles marbehan,"16, rue des Sports (Club et terrains)",Marbehan,,jeanluc_renneson@yahoo.com,
6099,Les lorrains,"Drève des Lorrains, 1",Wasseiges,,defaysjeanmarc@hotmail.be,81855848
3021,Leuze,Avenue des Sports 13/2,Leuzeenhainaut,www.tennisclubleuze.be,eddy-linda@hotmail.com,472512155
6042,Libramont,"Rue du Cèdre, 39",Libramontchevigny,,jdesneux@gmail.com,494512175
4013,Liege,"Route du Condroz, 99",Angleur,www.rtcl.be,anne.josef@rtcl.be,498442306
4012,Liegeois,"Chaussée de Tongres, 292",Rocourt,www.rfcltc.be,rfcliegeois4012@gmail.com,485594619
6034,Liry,Centre Adeps du Liry,Chiny,,gregwindels@hotmail.com,476549414
3007,Lobbes,Complexe sportif du Scavin Rue des Carrières,Lobbes,,bernard-jacques@hotmail.com,
4088,Longchamps,"Rue des Prés, 65",Waremme,www.longchampstenniswaremme.be,tclongchamps.waremme@gmail.com,497471037
3032,Louvierois,Rue des Carrelages n° 91,La louviere,www.rtclouvierois.be,info@rtclouvierois.be,477971237
3009,Loverval,"Allée des Mésanges, 14",Loverval,,antoine.mazy@gmail.com,475492247
4019,Malmedy,"Route de Falize, 82",Malmedy,www.rtcmalmedy.be,secretariatrtcmalmedy@gmail.com,80338610
6039,Malonne,Champ  Ha,Malonne,www.tc-malonne.be,info@tc-malonne.be,81440949
3038,Manage,"Rue Scailteur ,17",Manage,,stephane@agence-bewin.com,476325852
6065,Manhay,Chemin de la Salle,Manhay,www.tcmanhay.sitew.be,stephanewilkin@hotmail.com,496573682
6015,Marche,Chaussée de l'Ourthe  72,Marcheenfamenne,,tcm@tennismarche.be,84313046
4106,Marmotte,"Rue d'Erquy, 31",Oupeye,,info@tclamarmotte.be,httpswwwtclamarmottebe
6085,Martelange,"Route de Radelange, 43 A",Martelange,,jclaudeadam@gmail.com,63600860
3056,Match point estaimbourg,"Place de Bourgogne, 1",Estaimbourg,,sophie@favier.be,
6087,Mettet,"Rue Saint Donat, 15",Mettet,,timettet@skynet.be,
4040,Moha,Rue du Canal 41/A,Moha,www.tennismoha.be,tennis.moha@gmail.com,477607172
3014,Momignies,Route de Macon lieu dit le Kursaal,Momignies,www.tcmomignies.be,snauwaert.daniel@wanadoo.fr,
3002,Monsraect,"Rue Valenciennoise, 29",Mons,www.raect-mons.be,monsraect@gmail.com,485326511
4133,Mont,"Rue des Béolles, 30",Comblainaupont,,albanaude22@hotmail.be,476457874
3102,Montagnard,"Rue Grimard, 226 A",Montigniessursambre,,tcmontagnard@hotmail.com,476541624
3028,Montsurmarchienne,"Allée du Muguet, 1",Montsurmarchienne,www.tcmm.be,michel.petre68@gmail.com,473805946
3045,Morlanwelz,"Chaussée de Mariemont, 24",Morlanwelz,,leleujerome2010@gmail.com,
4017,Mosa,"Dom. d'Engismont, Rue Reine Astrid, 179",Engis,,vincent.hautecler1@skynet.be,496807185
3075,Moulinapapier,"Rue Emile Lenoir, 97",Sirault,www.tcmoulinapapier.be,polorobinet@gmail.com,476976420
1099,Mounier,Avenue E. Mounier 87,Bruxelles,www.mounier.be,tennis@mounier.be,
3106,Mouscrontc,"Rue des Olympiades, 50 Z",Mouscron,,tcmouscron@gmail.com,
3046,Mouscrontu,"Rue de la Passerelle 125, le long de la RN58",Mouscron,,tumouscron@hotmail.com,
6020,Moustier,Rue de la Fabrique,Moustiersursambre,www.tennis-moustier.net,gochard.laurent@scarlet.be,475941972
6005,Musson,Rue de France,Musson,,tennisclubmusson@gmail.com,495356719
3091,Naasttennis,Avenue du Chemin de Fer n° 56,Naast,,naast_tennis@hotmail.com,67333355
6022,Nassogne,Centre Sportif - Rue du Vivier 14 A,Nassogne,www.tcnassogne.be,delbrouck.s@skynet.be,495309157
6030,Natham,Plaine de Hubinne,Hamois,www.tcnatham.be,tcnatham@gmail.com,83611900
6012,Neufchateau,"Place des Tanneries, 1",Neufchteau,www.tcneufchateau.be,info@tcneufchateau.be,
4084,Neupre,"Rue des Chartreux, 4",Plainevaux,,tcneupre@gmail.com,477751433
6061,Nismes,Rue de la Station,Nismes,,Audrey.Biernaux@flw.be,478379573
4087,Ocquier,Grand'Rue+ 80,Ocquier,www.tcocquier.be,danycornet@skynet.be,494211893
1066,Odrimont,"Chemin d'Odrimont, 29",Ohain,www.batd.eu,olivier.buchet@batd.eu,26340382
6031,Ohey,"Rue de Reppe, 115 A",Ohey,www.tcgrandohey.be,lea.mestach@scarlet.be,474672418
1050,Ombrage,"Avenue Parmentier, 81",Bruxelles,www.tennis-ombrage.be,olivier.decoster10@gmail.com,
1033,Oree,Drève des Brûlés 59,Bruxelles,www.oree.be,secretariat-tennis@oree.be,27701924
6093,Oree du bois,"Rue de Claminforge, 82",Le roux,,oreedubois5070@gmail.com,495820083
4078,Oreye,"Rue de la Cité, 24 A",Oreye,,tennisoreye@gmail.com,
4112,Ouffet,Tige de Pair,Warzee,,jb_collin@hotmail.com,472339772
3065,Padel club gozee asbl,"Rue Vandervelde, 40",Gozee,www.mastertennis.be,info@mastertennis.be,71518932
6035,Paliseul,Rue de Sauvian - Parc Francken,Paliseul,,tc.paliseul@gmail.com,497134692
1038,Parival,"Rue Haute, 18",Rixensart,www.parival.be,tennis@parival.be,26536662
1039,Park wolu,Avenue Edmond Galoppin 1,Woluwesaintpierre,,parkwolu@proximus.be,27730788
3080,Paysblanc,"Rue de la Kennelée, 7",Antoing,,vincent.vanoverbeke@sagrex.be,69444510
4075,Pensery,"Rue sur les Keyeux, 33",Micheroux,www.tennis-pensery.blog4ever.com,alain.lemoine1956@gmail.com,473970361
4053,Pepinster,"Forges Thiry, 17",Pepinster,,tcpepinster@outlook.com,
3026,Peruwelzbonsecours,"Allée Max Quintart, 1",Bonsecours,,tennisclubperuwelzbonsecours@gmail.com,474494050
6100,Perwez,Av des Marronniers,Perwez,,guycharlet@yahoo.fr,478376722
3079,Peupliersath,"Chemin des Peupliers, 19",Ath,,xtian.goffin@gmail.com,476650333
3033,Pignolet,"Chemin du Pignolet, 10 B",Brainelecomte,www.pignolet.net,tclepignolet@outlook.com,496674161
3103,Plainchamp,"Rue Jeu de Balle, 11",Saintvaast,www.tcplainchamp.be,tcplainchamp@skynet.be,64224773
1034,Primerose,"Avenue du Gros Tilleul, 41-43",Bruxelles,www.batd.net,frederic.kohn@batd.eu,24783640
6300,Progrtrnois,"Chaussée de Marche, 935 C",Wierde,,,81554170
4025,Proteneurope 9 bonniers,"Rue de la Neuville, 6F",Tihange,,proteneurope@gmail.com,
3099,Quaregnon,"Rue Jean Jaurès, Stade Communal",Quaregnon,,tennislob@hotmail.com,470515301
3051,Quievrain,"Chemin de manages, 1",Quievrain,,fred.depuydt@skynet.be,475725799
3027,R.t.c. nimy,"Rue de la Clairière, 31",Nimy mons,www.rtcnimy.be,jan@mertens.net.be,65336584
1036,Racing bruxelles,"Avenue des Chênes,125",Bruxelles,,info@royalracing1891.be,
3047,Radar,"La Houppe, 52",Flobecq,www.chaletradar.be,jeremiedekeyzer@gmail.com,497333955
4081,Raeren,"Bergscheid, 5a",Raeren,www.tc-raeren.be,tennisclub.raeren@skynet.be,87850400
6040,Rail,Rue de l'Abbaye 6,Namur,www.trcn.be,p.jacmin@skynet.be,486653778
4063,Raquette olne,"chemin des écoliers, 5",Olne,,jo.habay@infonie.be,476382432
1048,Raquette wavre,"Avenue de la Belle Voie, 28",Wavre,,elianemonfils@skynet.be,
4041,Renaissance,"Rue Pasteur, 14",Montegnee,www.tcrenaissance.over-blog.com,tc.renaissance@yahoo.fr,495509146
3059,Ressaix,Rue de l'Industrie 52 c,Ressaix,,riccidesomberg@hotmail.be,499392575
4059,Rgf tennis,"Rue de Mons, 1b",Bombaye,,jean.quintili@gmail.com,498491223
6067,Rhisnes,Rue des chômeurs,Rhisnes,,,wwwfacebookcomgroups70460288892
4110,Richellois,"Rue de Richelle, 82",Richelle,,dicoeymans@gmail.com,497284067
1042,Roseau,"Rue du Roseau, 60",Bruxelles,www.leroseau.be,info@leroseau.be,23781818
1035,Royallarasante,"Rue Sombre, 56",Woluwesaintlambert,www.royallarasante.be,lmertens@royallarasante.be,26091902
1421,S.t.i.b.,"Rue du Biplan, 101",Bruxelles,,marc.vanrossem@skynet.be,476409141
6101,Saint fiacre,"Rue Léanne, 80",Namur,,tcstfiacre@hotmail.com,474871941
6106,Saint gerard,Rue de Maredsous,Saint gerard,,tennis.club.saintgerard@gmail.com,470967379
6059,Saint hubert,"Rue du Parc, 21",Sainthubert,,graidegerard@gmail.com,
6084,Saint leger,Rue du vieux-moulin,Saintleger lux,,tcstleger@gmail.com,
6043,Saint mard,"Rue du Stade, 7",Saintmard,,pascal_massart@yahoo.com,494840028
3029,Saintlo,Rue du Moulin 68,Saintghislain,,fenelon.flamme@belgacom.net,499261270
4077,Saint-vith,"Rodter Strasse, 9 B",Sankt vith,www.tc-stvith.be,tennisclub-st.vith@gmx.com,475982134
4005,Salm,Rue de la Vallée,Vielsalm,www.tcsalm.be,secretaire@tcsalm.be,496849460
3020,Seneffe,"Rue de l'Equipée, 71",Feluy,www.seneffetc.be,reneedelvallee333@gmail.com,496504367
3030,Sequoiaath,"Rue du Sequoia, 33",Ath,www.tcsequoia.be,tcsequoia@hotmail.be,475926809
4066,Seraing,Square des Primevères 10,Seraing,,seraingtennisclub@gmail.com,486917893
